race63,hisp,voting_age,header
1,0,1,"H75005_dp"
2,0,1,"H75006_dp"
3,0,1,"H75007_dp"
4,0,1,"H75008_dp"
5,0,1,"H75009_dp"
6,0,1,"H75010_dp"
7,0,1,"H75013_dp"
8,0,1,"H75014_dp"
9,0,1,"H75015_dp"
10,0,1,"H75016_dp"
11,0,1,"H75017_dp"
12,0,1,"H75018_dp"
13,0,1,"H75019_dp"
14,0,1,"H75020_dp"
15,0,1,"H75021_dp"
16,0,1,"H75022_dp"
17,0,1,"H75023_dp"
18,0,1,"H75024_dp"
19,0,1,"H75025_dp"
20,0,1,"H75026_dp"
21,0,1,"H75027_dp"
22,0,1,"H75029_dp"
23,0,1,"H75030_dp"
24,0,1,"H75031_dp"
25,0,1,"H75032_dp"
26,0,1,"H75033_dp"
27,0,1,"H75034_dp"
28,0,1,"H75035_dp"
29,0,1,"H75036_dp"
30,0,1,"H75037_dp"
31,0,1,"H75038_dp"
32,0,1,"H75039_dp"
33,0,1,"H75040_dp"
34,0,1,"H75041_dp"
35,0,1,"H75042_dp"
36,0,1,"H75043_dp"
37,0,1,"H75044_dp"
38,0,1,"H75045_dp"
39,0,1,"H75046_dp"
40,0,1,"H75047_dp"
41,0,1,"H75048_dp"
42,0,1,"H75050_dp"
43,0,1,"H75051_dp"
44,0,1,"H75052_dp"
45,0,1,"H75053_dp"
46,0,1,"H75054_dp"
47,0,1,"H75055_dp"
48,0,1,"H75056_dp"
49,0,1,"H75057_dp"
50,0,1,"H75058_dp"
51,0,1,"H75059_dp"
52,0,1,"H75060_dp"
53,0,1,"H75061_dp"
54,0,1,"H75062_dp"
55,0,1,"H75063_dp"
56,0,1,"H75064_dp"
57,0,1,"H75066_dp"
58,0,1,"H75067_dp"
59,0,1,"H75068_dp"
60,0,1,"H75069_dp"
61,0,1,"H75070_dp"
62,0,1,"H75071_dp"
63,0,1,"H75073_dp"
