recode,header
1,"H72003_dp"
2,"H72004_dp"
3,"H72005_dp"
4,"H72006_dp"
5,"H72007_dp"
6,"H72008_dp"
7,"H72011_dp"
8,"H72012_dp"
9,"H72013_dp"
10,"H72014_dp"
11,"H72015_dp"
12,"H72016_dp"
13,"H72017_dp"
14,"H72018_dp"
15,"H72019_dp"
16,"H72020_dp"
17,"H72021_dp"
18,"H72022_dp"
19,"H72023_dp"
20,"H72024_dp"
21,"H72025_dp"
22,"H72027_dp"
23,"H72028_dp"
24,"H72029_dp"
25,"H72030_dp"
26,"H72031_dp"
27,"H72032_dp"
28,"H72033_dp"
29,"H72034_dp"
30,"H72035_dp"
31,"H72036_dp"
32,"H72037_dp"
33,"H72038_dp"
34,"H72039_dp"
35,"H72040_dp"
36,"H72041_dp"
37,"H72042_dp"
38,"H72043_dp"
39,"H72044_dp"
40,"H72045_dp"
41,"H72046_dp"
42,"H72048_dp"
43,"H72049_dp"
44,"H72050_dp"
45,"H72051_dp"
46,"H72052_dp"
47,"H72053_dp"
48,"H72054_dp"
49,"H72055_dp"
50,"H72056_dp"
51,"H72057_dp"
52,"H72058_dp"
53,"H72059_dp"
54,"H72060_dp"
55,"H72061_dp"
56,"H72062_dp"
57,"H72064_dp"
58,"H72065_dp"
59,"H72066_dp"
60,"H72067_dp"
61,"H72068_dp"
62,"H72069_dp"
63,"H72071_dp"
