race63,voting_age,header
1,1,"H74003_dp"
2,1,"H74004_dp"
3,1,"H74005_dp"
4,1,"H74006_dp"
5,1,"H74007_dp"
6,1,"H74008_dp"
7,1,"H74011_dp"
8,1,"H74012_dp"
9,1,"H74013_dp"
10,1,"H74014_dp"
11,1,"H74015_dp"
12,1,"H74016_dp"
13,1,"H74017_dp"
14,1,"H74018_dp"
15,1,"H74019_dp"
16,1,"H74020_dp"
17,1,"H74021_dp"
18,1,"H74022_dp"
19,1,"H74023_dp"
20,1,"H74024_dp"
21,1,"H74025_dp"
22,1,"H74027_dp"
23,1,"H74028_dp"
24,1,"H74029_dp"
25,1,"H74030_dp"
26,1,"H74031_dp"
27,1,"H74032_dp"
28,1,"H74033_dp"
29,1,"H74034_dp"
30,1,"H74035_dp"
31,1,"H74036_dp"
32,1,"H74037_dp"
33,1,"H74038_dp"
34,1,"H74039_dp"
35,1,"H74040_dp"
36,1,"H74041_dp"
37,1,"H74042_dp"
38,1,"H74043_dp"
39,1,"H74044_dp"
40,1,"H74045_dp"
41,1,"H74046_dp"
42,1,"H74048_dp"
43,1,"H74049_dp"
44,1,"H74050_dp"
45,1,"H74051_dp"
46,1,"H74052_dp"
47,1,"H74053_dp"
48,1,"H74054_dp"
49,1,"H74055_dp"
50,1,"H74056_dp"
51,1,"H74057_dp"
52,1,"H74058_dp"
53,1,"H74059_dp"
54,1,"H74060_dp"
55,1,"H74061_dp"
56,1,"H74062_dp"
57,1,"H74064_dp"
58,1,"H74065_dp"
59,1,"H74066_dp"
60,1,"H74067_dp"
61,1,"H74068_dp"
62,1,"H74069_dp"
63,1,"H74071_dp"
